Points
(-212.8844757080078, -166.40130615234375, -175.44921875)
(-192.57957458496094, -166.76773071289062, -175.44921875)
(-208.70147705078125, -172.06861877441406, -175.44921875)
(-203.4456024169922, -171.50523376464844, -175.44921875)
(-213.668701171875, -204.59524536132812, -143.61361694335938)
(-211.25552368164062, -204.59524536132812, -143.61752319335938)
(-214.37591552734375, -204.59524536132812, -141.373779296875)
(-214.1200408935547, -204.59524536132812, -142.38632202148438)
(-212.25184631347656, -204.59524536132812, -140.52906799316406)
(-213.22560119628906, -204.59524536132812, -142.41561889648438)
(-217.0205535888672, -204.59524536132812, -132.20437622070312)
(-208.43099975585938, -204.59524536132812, -131.88352966308594)
(-189.6868133544922, -178.04185485839844, -175.44921875)
(-188.93145751953125, -165.79360961914062, -175.44921875)
(-188.27651977539062, -178.13595581054688, -175.3794708251953)
(-186.03610229492188, -182.11367797851562, -171.15365600585938)
(-187.13916015625, -179.14260864257812, -174.37713623046875)
(-181.9662628173828, -188.25003051757812, -164.5030059814453)
(-198.38107299804688, -204.59524536132812, -143.42520141601562)
(-186.71725463867188, -203.96559143066406, -144.4858856201172)
(-201.8773193359375, -204.59524536132812, -134.84039306640625)
(-195.886474609375, -203.3472442626953, -138.10108947753906)
(-193.36178588867188, -204.59524536132812, -132.5178680419922)
(-204.8507080078125, -204.59524536132812, -130.81265258789062)
(-186.0602569580078, -167.00119018554688, -175.30413818359375)
(-183.08761596679688, -173.46275329589844, -169.2467803955078)
(-181.9662628173828, -191.26165771484375, -160.89459228515625)
(-181.9662628173828, -186.59994506835938, -163.3307342529297)
(-181.9662628173828, -180.66677856445312, -165.75970458984375)
(-181.9662628173828, -175.54547119140625, -168.44207763671875)
(-181.9662628173828, -195.3482208251953, -156.00979614257812)
(-181.9662628173828, -190.90975952148438, -150.82998657226562)
(-183.77053833007812, -203.95199584960938, -144.4977569580078)
(-181.97743225097656, -202.9729461669922, -145.94229125976562)
(-181.9662628173828, -201.5631561279297, -147.83447265625)
(-181.9662628173828, -199.60894775390625, -141.3408203125)
(-181.9662628173828, -201.0938720703125, -146.35523986816406)
(-181.9662628173828, -195.280517578125, -147.06646728515625)
(-190.85252380371094, -204.59524536132812, -129.6383514404297)
(-188.72357177734375, -204.59524536132812, -132.1097412109375)
(-250.0, -155.80361938476562, -173.8259735107422)
(-250.0, -154.59524536132812, -170.01918029785156)
(-245.04771423339844, -157.09678649902344, -174.32708740234375)
(-246.55747985839844, -154.59524536132812, -171.60231018066406)
(-245.71458435058594, -154.59524536132812, -165.1862335205078)
(-250.0, -198.69482421875, -125.44921112060547)
(-250.0, -196.29737854003906, -125.44921112060547)
(-247.97251892089844, -200.30799865722656, -125.61239624023438)
(-245.08779907226562, -195.0978240966797, -125.44921112060547)
(-250.0, -154.59524536132812, -157.1431884765625)
(-250.0, -154.59524536132812, -153.08213806152344)
(-250.0, -154.59524536132812, -145.16050720214844)
(-245.14759826660156, -154.59524536132812, -154.46707153320312)
(-250.0, -180.8885498046875, -125.44921112060547)
(-250.0, -179.05796813964844, -125.44921112060547)
(-250.0, -177.38314819335938, -125.44921112060547)
(-248.17559814453125, -178.7637176513672, -125.44921112060547)
(-245.65463256835938, -186.57534790039062, -125.44921112060547)
(-238.29342651367188, -179.86798095703125, -125.44921112060547)
(-247.1711883544922, -175.6604461669922, -125.44921112060547)
(-250.0, -154.78790283203125, -140.9459686279297)
(-242.73240661621094, -154.95333862304688, -138.4688720703125)
(-250.0, -156.60403442382812, -131.27037048339844)
(-247.6697235107422, -154.59524536132812, -142.17210388183594)
(-250.0, -158.90655517578125, -125.44921112060547)
(-250.0, -157.4102325439453, -126.76695251464844)
(-250.0, -158.20559692382812, -125.44921112060547)
(-250.0, -157.5624542236328, -125.82866668701172)
(-248.5884552001953, -159.57249450683594, -125.44921112060547)
(-248.82516479492188, -157.32064819335938, -125.96072387695312)
(-248.12416076660156, -157.04922485351562, -128.48663330078125)
(-235.99163818359375, -179.94827270507812, -125.5083236694336)
(-241.82858276367188, -193.7991943359375, -125.61224365234375)
(-241.1278533935547, -192.3261260986328, -125.44921112060547)
(-235.88540649414062, -180.32273864746094, -125.44921112060547)
(-235.48585510253906, -204.0581512451172, -127.32010650634766)
(-214.49981689453125, -160.63722229003906, -175.44921875)
(-220.03390502929688, -160.25213623046875, -175.3796844482422)
(-220.408935546875, -156.65032958984375, -171.1471405029297)
(-212.8134307861328, -155.93812561035156, -169.34779357910156)
(-204.18736267089844, -159.64744567871094, -175.44921875)
(-181.9662628173828, -180.067138671875, -159.55616760253906)
(-181.9662628173828, -178.0679931640625, -153.20877075195312)
(-181.9662628173828, -187.06695556640625, -149.6338348388672)
(-181.9662628173828, -188.22955322265625, -147.96963500976562)
(-184.34169006347656, -166.95352172851562, -172.3876190185547)
(-181.9662628173828, -172.93690490722656, -167.42031860351562)
(-181.9662628173828, -165.13302612304688, -165.93460083007812)
(-181.9662628173828, -175.0276641845703, -165.09457397460938)
(-181.9662628173828, -167.92559814453125, -163.14114379882812)
(-181.9662628173828, -173.1753387451172, -157.41217041015625)
(-185.19052124023438, -164.04273986816406, -174.95028686523438)
(-188.46530151367188, -163.34071350097656, -175.34133911132812)
(-196.4061737060547, -161.16278076171875, -175.44921875)
(-184.35398864746094, -163.74436950683594, -171.68511962890625)
(-186.42832946777344, -160.16436767578125, -173.0159454345703)
(-239.62355041503906, -163.12266540527344, -175.44921875)
(-238.38357543945312, -154.59524536132812, -156.87167358398438)
(-234.40773010253906, -158.1804656982422, -175.44921875)
